Date,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,66.74166666666666,64.25750000000001,67.34166666666667,2.4787500000000002,-0.6,1.0,12.011249999999999,9.4725,4.20625,4.910416666666666
2025-11-09,70.15833333333333,58.93625,72.47083333333333,5.595,-2.3125,1.0,24.21375,18.75,2.8947916666666664,5.185416666666667
2025-11-10,69.659375,46.78062499999999,73.71145833333334,3.763125,-4.052083333333333,1.0,21.633750000000003,17.79375,1.8958333333333333,5.965625
2025-11-11,70.49583333333334,44.271875,74.534375,1.8168749999999998,-4.038541666666666,1.0,16.543125,14.735624999999999,0.9114583333333334,4.963541666666667
2025-11-12,73.58645833333334,48.213125,75.85312499999999,0.905625,-2.2666666666666666,1.0,9.043125,8.321250000000001,1.0729166666666667,3.4010416666666665
2025-11-13,74.77916666666667,51.741875,76.54791666666667,0.8175,-1.76875,1.0,9.57,8.8575,1.5447916666666668,3.810416666666667
2025-11-14,76.55520833333334,60.59375,77.465625,1.78125,-0.9104166666666668,1.0,11.649375,9.909374999999999,2.160416666666667,3.546875
2025-11-15,73.36458333333333,74.98625,77.23333333333333,5.814375000000001,-3.86875,1.0,20.551875,14.7675,-2.5083333333333333,1.6520833333333333
2025-11-16,65.99895833333333,66.86749999999999,74.66354166666666,5.701875,-8.664583333333333,1.0,25.965,20.43375,-6.872916666666666,2.9770833333333333
2025-11-17,69.4375,56.345,73.60625,3.8193750000000004,-4.16875,1.0,20.118750000000002,16.348125,-1.1333333333333333,4.223958333333333
2025-11-18,75.39375,54.820625,77.60312499999999,3.043125,-2.209375,1.0,14.949375000000002,11.865,5.166666666666667,7.669791666666666
2025-11-19,80.57916666666667,55.25375,85.41875,2.96625,-4.839583333333334,1.0,15.176250000000001,12.262500000000001,9.272916666666667,13.944791666666667
2025-11-20,81.909375,59.635625000000005,86.50625000000001,2.465625,-4.596875,1.0,17.068125,14.611875,8.596874999999999,12.719791666666666
2025-11-21,80.86562500000001,61.68687500000001,87.32395833333334,2.0362500000000003,-6.458333333333333,1.0,15.890625,13.861875,5.148958333333334,11.096874999999999
2025-11-22,81.58020833333333,56.444375,89.19375000000001,2.60625,-7.613541666666666,1.0,14.780625,12.414375,2.704166666666667,10.879166666666668
2025-11-23,82.83854166666667,54.53375,90.15104166666667,3.52125,-7.3125,1.0,14.529375,11.174999999999999,1.2291666666666667,9.691666666666666
