Date,Relative_Humidity,Temperature_Farenheit_Edge,Relative_Humidity_Edge,Temperature_Farenheit_Difference_C-E,Relative_Humidity_C-E,Alive_or_Dead,Difference In Temperature From Empty Center,Difference In Temperature From Empty Edge,Difference In Humidity From Empty Center,Difference In Humidity From Empty Edge
2025-11-08,72.88541666666667,61.26499999999999,78.16250000000001,0.735,-5.277083333333334,1.0,7.2749999999999995,6.48,10.35,15.731250000000001
2025-11-09,81.99791666666667,54.408125000000005,91.12916666666666,4.044375,-9.13125,1.0,18.135,14.221874999999999,14.734375,23.84375
2025-11-10,83.88229166666666,44.19875,93.05208333333333,4.1775,-9.169791666666667,1.0,19.46625,15.211875,16.118750000000002,25.306250000000002
2025-11-11,85.74062500000001,42.121249999999996,93.6875,2.49375,-7.9468749999999995,1.0,15.069375,12.585,16.15625,24.116666666666664
2025-11-12,87.25520833333333,46.769375,95.14479166666666,0.09937500000000003,-7.889583333333333,1.0,6.793125,6.8775,14.741666666666667,22.692708333333332
2025-11-13,89.921875,50.255,95.40625,0.05249999999999999,-5.484375,1.0,7.318124999999999,7.370625,16.6875,22.66875
2025-11-14,91.89687500000001,58.055,96.41875,-1.3425,-4.5218750000000005,1.0,5.986875,7.370625,17.502083333333335,22.5
2025-11-15,88.00208333333335,69.59,95.67604166666666,-1.1456250000000001,-7.673958333333334,1.0,8.195625,9.37125,12.129166666666668,20.094791666666666
2025-11-16,83.71145833333334,61.139375,94.72083333333335,2.5275000000000003,-11.009375,1.0,17.0625,14.705625,10.839583333333332,23.034375
2025-11-17,86.06666666666666,55.91,94.41562499999999,2.435625,-8.348958333333334,1.0,18.3,15.913125,15.495833333333332,25.03333333333333
2025-11-18,89.49583333333334,54.310624999999995,95.59791666666666,2.154375,-6.102083333333333,1.0,13.550625000000002,11.354999999999999,19.26875,25.664583333333336
2025-11-19,93.68333333333334,54.919999999999995,99.88854166666668,1.1325,-6.205208333333334,1.0,13.00875,11.92875,22.37708333333333,28.414583333333336
2025-11-20,95.56145833333333,57.32,99.90000000000002,0.03000000000000001,-4.338541666666667,1.0,12.316875000000001,12.29625,22.248958333333334,26.113541666666666
2025-11-21,96.53854166666667,59.845625000000005,99.74062500000001,-0.19125,-3.202083333333333,1.0,11.821875,12.020625,20.821875000000002,23.51354166666667
2025-11-22,96.71354166666667,56.62625,99.88229166666667,0.984375,-3.1687499999999997,1.0,13.340625000000001,12.59625,17.837500000000002,21.567708333333332
